name,count,year,month
Citroen C-Zero,41,2013,8
Peugeot iOn,30,2013,8
Think City,4,2013,8
Mia andre,3,2013,8
Tesla Roadster,3,2013,8
Mercedes-Benz SLS AMG,2,2013,8
Opel Ampera,42,2013,8
Fisker Karma,1,2013,8
Smart ForTwo,17,2013,8
Toyota Yaris,2913,2013,8
Toyota Prius,1253,2013,8
Lexus CT,192,2013,8
Mitsubishi Space Star,579,2013,8
Volkswagen upl,909,2013,8
Fiat 500,206,2013,8
Hondalnsight,11,2013,8
Skoda Citigo,408,2013,8
Toyota Auris,2792,2013,8
Ford Fiesta,1109,2013,8
Toyota Aygo,233,2013,8
Peugeot 107,103,2013,8
Peugeot 208,1271,2013,8
Citroen C1,72,2013,8
Renault Clio,374,2013,8
Citroen DS3,265,2013,8
Kia Picanto,612,2013,8
Volvo V40,2339,2013,8
Citroen C3,234,2013,8
Citroen C4,273,2013,8
Volkswagen Jetta,65,2013,8
Suzuki Alto,53,2013,8
Alfa Romeo Mito,33,2013,8
